Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C25,C28,C29,C30,C31,C32,C33",C_0402_1005Metric_small_pads,C1525,7
100k,R14,R_0402_1005Metric,C25741,1
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C2,C34,C8",C_0402_1005Metric_small_pads,C1525,11
10k,"R15,R4",R_0402_1005Metric,C25744,2
10u,"C22,C26,C5",C_0402_1005Metric_small_pads,C15525,3
15p,"C3,C4",C_0402_1005Metric_small_pads,C1548,2
1k,"R2,R6",R_0402_1005Metric,C11702,2
1u,L2,L_Coilcraft_XAL6030-XXX,C2938919,1
2.2k,R10,R_0402_1005Metric,C25879,1
22u,"C20,C21,C23",C_0603_1608Metric,C59461,3
27,"R7,R8",R_0603_1608Metric,C25190,2
3.3u,L1,L_pol_2016,C42411119,1
33,R3,R_0402_1005Metric,C25105,1
4.7k,R5,R_0402_1005Metric,C25900,1
4.7u,"C1,C10,C19,C6,C7,C9",C_0402_1005Metric_small_pads,C23733,6
5.1k,"R11,R12",R_0402_1005Metric,C25905,2
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
DT1042-04SO-7,D102,SOT-23-6,C2844726,1
LED_Small,D1,LED_0603_1608Metric,C2286,1
LM66200DRLR,U4,SOT-583-8,C3235556,1
MCP73831-2-OT,U2,SOT-23-5,C424093,1
RP2350_60QFN,U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C42411118,1
RT9080-33GJ5,U5,TSOT-23-5,C841192,1
SW_Push,"SW1,SW2",SW_SPST_TS-1088-xR020,C720477,2
TPS61022,U6,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,C915088,1
USB_C_Receptacle_USB2.0_14P,J15,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
